-e norm_key	source_class	source_detail	recipe_name
amazonappstream20munki	sparkle/feed	clients.amazonappstream.com	Amazon AppStream 2.0.munki
amazonchime	dynamic-scrape		Amazon Chime
amazonchimedownload	dynamic-scrape		AmazonChime.download
amazoncorettoapplesiliconjdk11download	dynamic-scrape		AmazonCorettoAppleSiliconJDK11.download
amazoncorettoapplesiliconjdk17download	dynamic-scrape		AmazonCorettoAppleSiliconJDK17.download
amazoncorettoapplesiliconjdk17pkg	dynamic-scrape		AmazonCorettoAppleSiliconJDK17.pkg
amazoncorettoapplesiliconjdk21download	dynamic-scrape		AmazonCorettoAppleSiliconJDK21.download
amazoncorettoapplesiliconjdk25download	dynamic-scrape		AmazonCorettoAppleSiliconJDK25.download
amazoncorettoapplesiliconjdk8download	dynamic-scrape		AmazonCorettoAppleSiliconJDK8.download
amazoncorettoapplesiliconjdk8pkg	dynamic-scrape		AmazonCorettoAppleSiliconJDK8.pkg
amazoncorettointeljdk17download	dynamic-scrape		AmazonCorettoIntelJDK17.download
amazoncorettointeljdk21download	dynamic-scrape		AmazonCorettoIntelJDK21.download
amazoncorettointeljdk21pkg	dynamic-scrape		AmazonCorettoIntelJDK21.pkg
amazoncorettointeljdk25download	dynamic-scrape		AmazonCorettoIntelJDK25.download
amazoncorettojdk11	dynamic-scrape		Amazon Coretto JDK 11
amazoncorettojdk11download	dynamic-scrape		AmazonCorettoJDK11.download
amazoncorettojdk11pkg	dynamic-scrape		AmazonCorettoJDK11.pkg
amazoncorettojdk17	dynamic-scrape		Amazon Coretto JDK 17
amazoncorettojdk21	dynamic-scrape		Amazon Coretto JDK 21
amazoncorettojdk25	dynamic-scrape		Amazon Coretto JDK 25
amazoncorettojdk8	dynamic-scrape		Amazon Coretto JDK 8
amazoncorettojdk8download	dynamic-scrape		AmazonCorettoJDK8.download
amazoncorettojdk8pkg	dynamic-scrape		AmazonCorettoJDK8.pkg
amazoncorretto8	dynamic-scrape	corretto.aws	AmazonCorretto8
amazoncorretto8download	dynamic-scrape	corretto.aws	Amazon Corretto 8.download
amazoncorrettodownload	dynamic-scrape	corretto.aws	Amazon Corretto.download
amazoncorrettomajorversion	dynamic-scrape	corretto.aws	AmazonCorretto%MAJOR_VERSION%
amazonmusic	dynamic-scrape		Amazon Music
amazonmusicjdmdownload	dynamic-scrape		AmazonMusic-jdm.download
amazonphotos	dynamic-scrape		Amazon Photos
