-e installomator_label	installer_type	downloadURL	appNewVersion	expectedTeamID	packageID	blockingProcesses
obs	dmg	$(downloadURLFromGit obsproject obs-studio )	$(versionFromGit obsproject obs-studio )	2MMRE5MTB8		
onscreencontrol	pkgInZip	"https://lmu.lge.com/ExternalService/onscreencontrol/mac/2.0/${downloadFile}"	$(echo $downloadFile | grep -o '[0-9].[0-9][0-9]')	5SKT5H4CPQ	com.LGSI.OnScreen-Control	
particulars	pkg	"https://particulars.app/_downloads/Particulars-latest.pkg"	$(curl -fsI "${downloadURL}" | grep -i location | grep -oE "[0-9]+\.[0-9]+")	2Z25XDNP2X	net.glencode.Particulars	( NONE )
pique	pkg	$(downloadURLFromGit macadmins pique )	$(versionFromGit macadmins pique )	T4SK8ZXCXG	io.macadmins.Pique	
plantronicshub	pkgInDmg	"https://www.poly.com/content/dam/www/software/PlantronicsHubInstaller.dmg"	$(curl -fs "https://www.poly.com/in/en/support/knowledge-base/kb-article-page?lang=en_US&urlName=Hub-Release-Notes&type=Product_Information__kav" | grep -o "(*.*<span>)" | head -1 | cut -d "(" -f2 | sed 's/\<\/span\>//g' | cut -d "<" -f1)	SKWK2Q7JJV		
polleverywhere	dmg	"https://polleverywhere-app.s3.amazonaws.com/mac-stable/$appNewVersion/pollev.dmg"	$(curl -fsL https://www.polleverywhere.com/app/releases/mac | grep h3 --max-count 1 | awk '{ gsub(/<\/?h3>/, ""); print }')	W48F3X5M8W		
projectplace	dmg	"https://service.projectplace.com/client_apps/desktop/Projectplace-for-mac.dmg"		8333HW99E8		
rhino7	dmg	$(echo "$sparkleFeed" | xpath '(//rss/channel/item/enclosure/@url)[1]' 2>/dev/null | cut -d '"' -f 2)	$(echo "$sparkleFeed" | xpath '(//rss/channel/item/enclosure/@sparkle:shortVersionString[1]' 2>/dev/null | cut -d '"' -f 2 | cut -d ' ' -f 1)	D6XDM4N99E		
rhino8	dmg	$(echo "$sparkleFeed" | xpath '(//rss/channel/item/enclosure/@url)[1]' 2>/dev/null | cut -d '"' -f 2)	$(echo "$sparkleFeed" | xpath '(//rss/channel/item/enclosure/@sparkle:shortVersionString)[1]' 2>/dev/null | cut -d '"' -f 2 | cut -d ' ' -f 1)	D6XDM4N99E		
screencloudplayer	dmg	$(curl -fs "https://screencloud.com/download" | sed -n 's/^.*"url":"\(https.*\.dmg\)".*$/\1/p')	$( echo $downloadURL | sed -e 's/.*\/ScreenCloud.*\-\([0-9.]*\)\.dmg/\1/g' )	3C4F953K6P		
signiantapp	dmg	"https://updates.signiant.com/signiant_app/$(curl -fs "https://updates.signiant.com/signiant_app/signiant-app-info-mac.json" | grep -o '"file": *"[^"]*"' | awk -F '"' '{print $4}')"	"$(echo $downloadURL | sed -E 's/.*Signiant_App_([0-9]+(\.[0-9]+)*)\.dmg/\1/')"	U6ZZ4QLU4Q		
sketchupviewer	dmg	"$(curl -Lfs https://www.sketchup.com/en/sketchup-viewer/downloads | grep -o 'https://download.sketchup.com/SketchUpViewer[0-9\-]*.dmg')"		J8PVMCY7KL		
soundly	dmg	"https://storage.googleapis.com/soundlyapp/Soundly.dmg"		67Y6N7VTDG		
splashtopsos	dmg	"https://download.splashtop.com/sos/SplashtopSOS.dmg"		CPQQ3AW49Y		
strongdm	dmg	"https://app.strongdm.com/downloads/client/darwin"	$(curl -fsLIXGET "https://app.strongdm.com/downloads/client/darwin" | grep -i "^content-disposition" | sed -e 's/.*filename\=\"SDM\-\(.*\)\.dmg\".*/\1/')	W5HSYBBJGA		( "SDM" )
surfdrive	pkg	$(curl -fs https://servicedesk.surf.nl/wiki/spaces/WIKI/pages/74225443/Desktop+client+login|grep -Eo "(http|https)://[a-zA-Z0-9./?=_%:-]*" | grep pkg | grep arm64)	$(curl -fs https://servicedesk.surf.nl/wiki/spaces/WIKI/pages/74225443/Desktop+client+login|grep -Eo "(http|https)://[a-zA-Z0-9./?=_%:-]*" | grep pkg | grep arm |cut -d -f2)	4AP2STM4H5		( "surfdrive" )
symhelper	zip	"$(downloadURLFromGit setup-your-mac SYM-Helper)"	"$(versionFromGit setup-your-mac SYM-Helper)"	PS2F6S478M		
synologyactivebackupforbusinessagent	pkgInDmg	$(appVersion=`curl -sf https://archive.synology.com/download/Utility/ActiveBackupBusinessAgent | grep -m 1 /download/Utility/ActiveBackupBusinessAgent/ | sed "s|.*>\(.*\)<.*|\\1|"` && appShortVersion=`sed 's#.*-\(\)#\1#' <<< $appVersion` && echo https://global.download.synology.com/download/Utility/ActiveBackupBusinessAgent/"$appVersion"/Mac/x86_64/Synology%20Active%20Backup%20for%20Business%20Agent-"$appVersion".dmg)	$(curl -sf https://archive.synology.com/download/Utility/ActiveBackupBusinessAgent | grep -m 1 /download/Utility/ActiveBackupBusinessAgent/ | sed "s|.*>\(.*\)<.*|\\1|" | sed "s#.*-\(\)#\1#")	X85BAK35Y4	com.synology.activebackup-agent	
synologydriveclient	pkgInDmg	"https://global.download.synology.com/download/Utility/SynologyDriveClient/$appFullVersion/Mac/Installer/synology-drive-client-$appNewVersion.dmg"	"$( echo $appFullVersion | sed "s|.*-\(\)|\\1|" )"	X85BAK35Y4		
teamwire	dmg	"https://desktop.teamwire.eu/download.php?platform=darwinArm64"	$(curl -fsI $downloadURL | grep -i 'Location' | cut -d ' ' -f2 | sed 's|.*dist/v\([^/]*\).*|\1|')	2JCSJ44B3U	eu.teamwire.app	
things	zip	"https://culturedcode.com/things/download/"		JLMPQHK86H		
trint	zip	"https://desktopapp.trint.com/latest/darwin/arm64/Trint.zip"	$(getJSONValue "$(curl -fsL https://desktopapp.trint.com/updates/darwin/arm64/RELEASES.json)" "currentRelease" )	4SN3PJXHG2		
ultracompare	dmg	"https://downloads.ultraedit.com/main/uc/mac/UltraCompare.dmg"	""	2T4C9Y59FF		
universaltypeclient	pkgInZip	https://bin.extensis.com/$( curl -fs https://www.extensis.com/support/universal-type-server-7/ | grep -o "UTC-[0-9].*M.zip" )	$(echo "$downloadURL" | awk -F'UTC-' '{split($2, a, "-M"); print a[1]}' | tr '-' '.')	J6MMHGD9D6		
utiluti	pkg	$(downloadURLFromGit "scriptingosx" "utiluti")	$(versionFromGit "scriptingosx" "utiluti")	JME5BW3F3R	com.scriptingosx.utiluti	( NONE )
visualz	dmg	"$(downloadURLFromGit madchops1 visualz-releases)"	"$(versionFromGit madchops1 visualz-releases)"	6RLU6426R3		
vivi	pkg	$(curl -sf https://api.vivi.io/mac | grep -o '<a .*href=.*>' | sed -e 's/<a /\n<a /g' | sed -e 's/<a .*href=['"'"'"]//' -e 's/["'"'"'].*$//' -e '/^$/ d')	$(curl -fsIL https://api.vivi.io/mac | grep -i "^location" | awk "{print $2}" | sed -E "s/.*\/[a-zA-Z]*-([0-9.]*)\..*/\1/g")	3NRCUJ8TJC	au.com.viviaustralia.mac	
vonagebusiness	dmg	"https://vbc-downloads.vonage.com/mac/VonageBusinessSetup.dmg"	$(curl -fs "https://s3.amazonaws.com/vbcdesktop.vonage.com/prod/mac/latest-mac.yml" | grep -i version | cut -w -f2)	E37FZSUGQP		
workbrew	pkg	"https://console.workbrew.com/downloads/macos"	"$(curl -sIL https://console.workbrew.com/downloads/macos | grep -i "^content-disposition:" | grep -o '[0-9]\+\.[0-9]\+\.[0-9]\+')"	676JW3JDLF		
xink	pkg	"https://downloads.xink.io/macos/pkg"	$(curl -fs "https://downloads.xink.io/macos/appcast" | xpath '(//rss/channel/item/enclosure/@sparkle:version)[1]' 2>/dev/null | head -1 | cut -d '"' -f 2)	F287823HVS	com.emailsignature.Xink	
zerotier	pkg	"https://download.zerotier.com/dist/ZeroTier%20One.pkg"	$(versionFromGit zerotier ZeroTierOne )	8ZD9JUCZ4V	com.zerotier.pkg.ZeroTierOne	
zohoworkdrivegenie	dmg	"https://www.zoho.com/workdrive/downloads/edit-tool/Zoho_WorkDrive_Genie.dmg"		TZ824L8Y37		
zulujdk11	pkgInDmg	https://cdn.azul.com/zulu/bin/$(curl -fs "https://cdn.azul.com/zulu/bin/" | grep -Eio '">zulu11.*ca-jdk11.*x64.dmg(.*)' | cut -c3- | sed 's/<\/a>//' | sed -E 's/([0-9.]*)M//' | awk '{print $2 $1}' | sort | cut -c11- | tail -1)	$(echo "$downloadURL" | cut -d "-" -f 1 | sed -e "s/.*zulu//") # Cannot be compared to anything	TDTHCUPYFR	com.azulsystems.zulu.11	
zulujdk17	pkgInDmg	https://cdn.azul.com/zulu/bin/$(curl -fs "https://cdn.azul.com/zulu/bin/" | grep -Eio '">zulu17.*ca-jdk17.*x64.dmg(.*)' | cut -c3- | sed 's/<\/a>//' | sed -E 's/([0-9.]*)M//' | awk '{print $2 $1}' | sort | cut -c11- | tail -1)	$(echo "$downloadURL" | cut -d "-" -f 1 | sed -e "s/.*zulu//") # Cannot be compared to anything	TDTHCUPYFR	com.azulsystems.zulu.17	
zulujdk21	pkgInDmg	https://cdn.azul.com/zulu/bin/$(curl -fs "https://cdn.azul.com/zulu/bin/" | grep -Eio '">zulu21.*ca-jdk21.*x64.dmg(.*)' | cut -c3- | sed 's/<\/a><\/td>//' | sed -E 's/([0-9.]*)M//' | awk '{print $2 $1}' | sort -V | tail -1)	$(echo "$downloadURL" | cut -d "-" -f 1 | sed -e "s/.*zulu//" | sed 's/jdk//') 	TDTHCUPYFR	com.azulsystems.zulu.21	
zulujdk8	pkgInDmg	https://cdn.azul.com/zulu/bin/$(curl -fs "https://cdn.azul.com/zulu/bin/" | grep -Eio '">zulu8.*ca-jdk8.*x64.dmg(.*)' | cut -c3- | sed 's/<\/a><\/td>//' | sed -E 's/([0-9.]*)M//' | awk '{print $2 $1}' | sort -V | tail -1)	$(echo "$downloadURL" | cut -d "-" -f 1 | sed -e "s/.*zulu//" | sed 's/jdk//') 	TDTHCUPYFR	com.azulsystems.zulu.8	
