slug,name,appcatalog_url
jamf-cloud-package-replicator,Jamf Cloud Package Replicator,https://appcatalog.cloud/apps/jamf-cloud-package-replicator
jamf-environment-test,Jamf Environment Test,https://appcatalog.cloud/apps/jamf-environment-test
jamf-framework-redeploy,Jamf Framework Redeploy,https://appcatalog.cloud/apps/jamf-framework-redeploy
jamf-protect-ulf-uploader,Jamf Protect Ulf Uploader,https://appcatalog.cloud/apps/jamf-protect-ulf-uploader
jamf-prune,Jamf Prune,https://appcatalog.cloud/apps/jamf-prune
jamfdash,Jamfdash,https://appcatalog.cloud/apps/jamfdash
jamfhelper-constructor,Jamfhelper Constructor,https://appcatalog.cloud/apps/jamfhelper-constructor
jane-reader,Jane Reader,https://appcatalog.cloud/apps/jane-reader
joy,Joy,https://appcatalog.cloud/apps/joy
jpegmini-pro,Jpegmini Pro,https://appcatalog.cloud/apps/jpegmini-pro
keeper-secrets-manager-cli,Keeper Secrets Manager Cli,https://appcatalog.cloud/apps/keeper-secrets-manager-cli
keepnotes,Keepnotes,https://appcatalog.cloud/apps/keepnotes
kelvin,Kelvin,https://appcatalog.cloud/apps/kelvin
kite,Kite,https://appcatalog.cloud/apps/kite
komodo-screen-recorder,Komodo Screen Recorder,https://appcatalog.cloud/apps/komodo-screen-recorder
kubernetes-desktop-client,Kubernetes Desktop Client,https://appcatalog.cloud/apps/kubernetes-desktop-client
kubeswitch,Kubeswitch,https://appcatalog.cloud/apps/kubeswitch
languagetool,Languagetool,https://appcatalog.cloud/apps/languagetool
later,Later,https://appcatalog.cloud/apps/later
lens-desktop,Lens Desktop,https://appcatalog.cloud/apps/lens-desktop
lingo,Lingo,https://appcatalog.cloud/apps/lingo
lingvanex-translator,Lingvanex Translator,https://appcatalog.cloud/apps/lingvanex-translator
linked-helper,Linked Helper,https://appcatalog.cloud/apps/linked-helper
livechat,Livechat,https://appcatalog.cloud/apps/livechat
logoer,Logoer,https://appcatalog.cloud/apps/logoer
lucanet-software-manager,Lucanet Software Manager,https://appcatalog.cloud/apps/lucanet-software-manager
lucidlink-classic,Lucidlink Classic,https://appcatalog.cloud/apps/lucidlink-classic
mac-linguist,Mac Linguist,https://appcatalog.cloud/apps/mac-linguist
maccleanse,Maccleanse,https://appcatalog.cloud/apps/maccleanse
macgpt,Macgpt,https://appcatalog.cloud/apps/macgpt
macos-instantview,Macos Instantview,https://appcatalog.cloud/apps/macos-instantview
macuncle-eml-viewer,Macuncle Eml Viewer,https://appcatalog.cloud/apps/macuncle-eml-viewer
maglr,Maglr,https://appcatalog.cloud/apps/maglr
mamp-pro,Mamp Pro,https://appcatalog.cloud/apps/mamp-pro
mana-security,Mana Security,https://appcatalog.cloud/apps/mana-security
manycam,Manycam,https://appcatalog.cloud/apps/manycam
maxon-cinema-4d-2026,Maxon Cinema 4D 2026,https://appcatalog.cloud/apps/maxon-cinema-4d-2026
medialab-connect,Medialab Connect,https://appcatalog.cloud/apps/medialab-connect
mersive-solstice,Mersive Solstice,https://appcatalog.cloud/apps/mersive-solstice
microsoft-365,Microsoft 365,https://appcatalog.cloud/apps/microsoft-365
microsoft-365-business-pro,Microsoft 365 Business Pro,https://appcatalog.cloud/apps/microsoft-365-business-pro
microsoft-365-complete-removal,Microsoft 365 Complete Removal,https://appcatalog.cloud/apps/microsoft-365-complete-removal
